abbreviation,SEASON,PLAYER
SAS,2021,Lonnie Walker IV
SAS,2021,Keldon Johnson
SAS,2021,Derrick White
SAS,2021,Dejounte Murray
SAS,2021,Bryn Forbes
SAS,2021,Joshua Primo
SAS,2021,Drew Eubanks
SAS,2021,Joe Wieskamp
SAS,2021,Devontae Cacok
SAS,2021,Doug McDermott
SAS,2021,Zach Collins
SAS,2021,Devin Vassell
SAS,2021,Jakob Poeltl
SAS,2021,Thaddeus Young
SAS,2021,Keita Bates-Diop
SAS,2021,Tre Jones
SAS,2021,Jock Landale
OKC,2021,Shai Gilgeous-Alexander
OKC,2021,Josh Giddey
OKC,2021,Luguentz Dort
OKC,2021,Gabriel Deck
OKC,2021,Darius Bazley
OKC,2021,Paul Watson
OKC,2021,Theo Maledon
OKC,2021,Derrick Favors
OKC,2021,Ty Jerome
OKC,2021,Aleksej Pokusevski
OKC,2021,Aaron Wiggins
OKC,2021,Isaiah Roby
OKC,2021,Tre Mann
OKC,2021,Vit Krejci
OKC,2021,Mike Muscala
OKC,2021,Kenrich Williams
OKC,2021,Jeremiah Robinson-Earl
TOR,2021,Goran Dragic
TOR,2021,OG Anunoby
TOR,2021,Scottie Barnes
TOR,2021,Precious Achiuwa
TOR,2021,Justin Champagnie
TOR,2021,David Johnson
TOR,2021,Svi Mykhailiuk
TOR,2021,Isaac Bonga
TOR,2021,Yuta Watanabe
TOR,2021,Malachi Flynn
TOR,2021,Fred VanVleet
TOR,2021,Khem Birch
TOR,2021,Chris Boucher
TOR,2021,Gary Trent Jr.
TOR,2021,Pascal Siakam
TOR,2021,Dalano Banton
UTA,2021,Eric Paschall
UTA,2021,Jordan Clarkson
UTA,2021,Joe Ingles
UTA,2021,Trent Forrest
UTA,2021,Rudy Gay
UTA,2021,Mike Conley
UTA,2021,Jared Butler
UTA,2021,Udoka Azubuike
UTA,2021,Hassan Whiteside
UTA,2021,Royce O'Neale
UTA,2021,Malik Fitts
UTA,2021,Rudy Gobert
UTA,2021,Elijah Hughes
UTA,2021,Bojan Bogdanovic
UTA,2021,Donovan Mitchell
UTA,2021,Miye Oni
MEM,2021,De'Anthony Melton
MEM,2021,Kyle Anderson
MEM,2021,Xavier Tillman Sr.
MEM,2021,Steven Adams
MEM,2021,Yves Pons
MEM,2021,Santi Aldama
MEM,2021,Ziaire Williams
MEM,2021,Ja Morant
MEM,2021,Jaren Jackson Jr.
MEM,2021,Brandon Clarke
MEM,2021,Tyus Jones
MEM,2021,Desmond Bane
MEM,2021,Jarrett Culver
